TrialNum,FileName,Config,Block,AUC_RTA,AUC_LTA,AUC_RRF,AUC_LRF
1,test2_jan08_2026_Trial_045.csv,Config1,63_noStim,0.000106046931075972,0.000533732930869232,5.36529310656951e-05,6.42403063985032e-05
2,test2_jan08_2026_Trial_046.csv,Config1,63_noStim,0.000351547028594001,0.00124512149652935,1.39090733748544e-05,0.000354610088157416
3,test2_jan08_2026_Trial_047.csv,Config1,63_noStim,0.00128658184731747,0.000931561091324815,0.000115098587168586,5.19766748861558e-05
4,test2_jan08_2026_Trial_048.csv,Config1,63_noStim,2.06551447171021e-05,0.00127817620987815,2.16777020794751e-05,5.65734568845908e-05
5,test2_jan08_2026_Trial_049.csv,Config1,63_noStim,0.00103540133230185,0.00214209470573948,0.000125935173712293,4.65572837058896e-06
6,test2_jan08_2026_Trial_050.csv,Config1,63_noStim,0.000126282862019174,0.000666888768032773,6.15949174841928e-05,7.65387925170713e-06
7,test2_jan08_2026_Trial_051.csv,Config1,63_noStim,7.35917798529347e-05,0.00140464661744729,5.95511908828516e-05,2.95725617319393e-05
8,test2_jan08_2026_Trial_052.csv,Config1,63_noStim,7.12493734502634e-05,0.00246461844608806,0.000266180890220318,0.000232682122324632
9,test2_jan08_2026_Trial_053.csv,Config1,63_noStim,0.000984129845861412,0.00264267790414858,0.000254519568757505,7.43430274636334e-05
10,test2_jan08_2026_Trial_054.csv,Config1,63_noStim,7.78595697247716e-05,0.00191920578128449,1.89417288800234e-06,2.5309789616544e-05
11,test2_jan08_2026_Trial_055.csv,Config1,76_noStim,0.00103928161565223,0.00125298065466018,0.00039335942198239,0.000165946656404944
12,test2_jan08_2026_Trial_056.csv,Config1,76_noStim,0.00115483652526372,0.00170821968996119,0.000182939796770732,0.00013194159350115
13,test2_jan08_2026_Trial_057.csv,Config1,76_noStim,0.00137911382082288,0.00354035229175618,0.000466806895718189,0.000219745108047349
14,test2_jan08_2026_Trial_058.csv,Config1,76_noStim,0.00156275121981097,0.00502085369482485,0.000661969043129116,0.000301535408990761
15,test2_jan08_2026_Trial_059.csv,Config1,76_noStim,0.00101543886471596,0.00362313578445975,0.000279307165612589,0.000140027773662176
16,test2_jan08_2026_Trial_060.csv,Config1,76_noStim,0.00244794508429702,0.00420875559463838,0.000958867292862257,0.000339442348254921
17,test2_jan08_2026_Trial_061.csv,Config1,76_noStim,0.00101165021932361,0.00351649692407845,0.00054436532478761,0.000562733533386115
18,test2_jan08_2026_Trial_062.csv,Config1,76_noStim,0.000794456070220471,0.00451154278972224,0.000366400187593141,0.000200121853843939
