Pilot02,,,,,,,,,,
Jan08 2026,,,,,,,,,,
,,,,,,,,,threshold 5/10 = 0.185,
Recorded in DAQ ,,,,,,,,,,
Gain of 909,,,,,,,,,,
Sampling Freq 2000Hz,,,,,,,,,,
,,,,,,,,,50,microvolts
Channels,,,,,,,,,0.0005,voltds
1,TMS,,,,,,,,0.4545,account for gain
2,rta,,,,,,,,,
3,lta,,,,,,,,,
4,rrf,,,,,,,,,
5,lrf,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
DAQ Trial,Stim #,%MSO,P2P,Avg,Notes,,,,,
165,1,63,w/o stim,baseline,,,,,,
166,2,,w/o stim,,,,,,,
167,3,,w/o stim,,,,,,,
168,4,,w/o stim,,,,,,,
169,5,,w/o stim,,,,,,,
170,1,63,w/o stim,,,,,,,
171,2,,w/o stim,,,,,,,
172,3,,w/o stim,,,,,,,
173,4,,w/o stim,,,,,,,
174,5,,w/o stim,,,,,,,
175,1,76,w/o stim,,,,,,,
176,2,,w/o stim,,,,,,,
177,3,,w/o stim,,,,,,,
178,4,,w/o stim,,,,,,,
179,5,,w/o stim,,,,,,,
180,1,76,w/o stim,,,,,,,
181,2,,w/o stim,,,,,,,
182,3,,w/o stim,,,,,,,
183,4,,w/o stim,,,,,,,
184,5,,w/o stim,,,,,,,
