DAQ_Trial,Stim_no,P2P,%MSO,Config,rta_min,rta_max,lta_min,lta_max,rrf_min,rrf_max,lrf_min,lrf_max
83,4,w stim,63,configuration 1 here!,-0.03581942,0.07081927,-0.3421427,0.5221325,-0.3762865,0.281993,-0.3728883,0.2690475
84,5,w stim,63,configuration 1 here!,-0.01203203,0.005606234,-0.1584782,0.2344182,-0.3804938,0.2787566,-0.3724029,0.2692093
85,1,w/o stim,63,configuration 2 starts here my friends!,-0.01672478,0.003340768,-0.07044867,0.06564107,-0.02319754,-0.001837438,-0.03581942,0.01580083
86,2,w/o stim,63,configuration 2 starts here my friends!,-0.01915207,0.005120777,-0.04682311,0.05285737,-0.06834503,0.0172572,-0.01834297,0.007062604
87,3,w/o stim,63,configuration 2 starts here my friends!,-0.01267931,0.004149863,-0.04811766,0.06758289,-0.02238845,-0.003293809,-0.01203203,0.003178949
88,4,w/o stim,63,configuration 2 starts here my friends!,-0.01106112,0.004797139,-0.08582147,0.09250301,-0.04342491,0.01078444,-0.0288612,0.006577148
89,5,w/o stim,63,configuration 2 starts here my friends!,-0.01219385,0.002369855,-0.05232495,0.0266427,-0.02449209,0.001884398,-0.01235567,0.001722579
90,1,w/o stim,63,configuration 2 starts here my friends!,-0.01559205,0.00463532,-0.05523769,0.04395733,-0.0228739,0.001398941,-0.01785751,0.006900785
91,2,w/o stim,63,configuration 2 starts here my friends!,-0.01073748,0.005606234,-0.07773053,0.05835921,-0.02724301,0.0004280272,-0.01413568,0.002693493
92,3,w/o stim,63,configuration 2 starts here my friends!,-0.01316477,0.004311682,-0.2500677,0.2431565,-0.04407218,0.01288809,-0.1533,0.08457389
93,4,w/o stim,63,configuration 2 starts here my friends!,-0.1055634,0.1111122,-0.1573455,0.3239041,-0.06073954,0.03586638,-0.01284113,0.002046217
94,5,w/o stim,63,configuration 2 starts here my friends!,-0.02416845,0.01029898,-0.03420123,0.02049358,-0.02983212,-0.0005428865,-0.02093207,0.0104608
95,1,w/o stim,76,configuration 2 starts here my friends!,-0.257835,0.1248668,-0.3741829,0.3412188,-0.07821599,0.05318101,-0.07093413,0.04589915
96,2,w/o stim,76,configuration 2 starts here my friends!,-0.2278985,0.268562,-0.1147871,0.1182322,-0.1010325,0.08020477,-0.1214216,0.06515561
97,3,w/o stim,76,configuration 2 starts here my friends!,-0.2819461,0.324066,-0.233724,0.2232527,-0.08404147,0.0573883,-0.07902508,0.02793725
98,4,w/o stim,76,configuration 2 starts here my friends!,-0.1518436,0.2059381,-0.2505532,0.2648402,-0.0953688,0.05706466,-0.2419768,0.1214686
99,5,w/o stim,76,configuration 2 starts here my friends!,-0.2380931,0.2025399,-0.2633369,0.2515711,-0.07934872,0.05496101,-0.2395495,0.1423433
100,1,w/o stim,76,configuration 2 starts here my friends!,-0.1910038,0.2684002,-0.3086462,0.2512474,-0.08824876,0.05382828,-0.0723905,0.03619001
101,2,w/o stim,76,configuration 2 starts here my friends!,-0.2008748,0.1740598,-0.2206167,0.1968762,-0.1133307,0.09428302,-0.1719092,0.08781026
102,3,w/o stim,76,configuration 2 starts here my friends!,-0.1160816,0.1583633,-0.1999038,0.1083613,-0.127409,0.1104649,-0.03792306,0.02000812
103,4,w/o stim,76,configuration 2 starts here my friends!,-0.2387404,0.2127345,-0.07967235,0.1865198,-0.09067605,0.06645016,-0.1016797,0.05593193
104,5,w/o stim,76,configuration 2 starts here my friends!,-0.1063725,0.1185559,-0.1384126,0.1900799,-0.08727784,0.05026827,-0.03031757,0.005444415
105,1,w stim,76,configuration 2 starts here my friends!,-0.2738551,0.22924,-0.3125298,0.3724498,-0.1578309,0.1476833,-0.2102603,0.1641888
106,2,w stim,76,configuration 2 starts here my friends!,-0.09326515,0.1572306,-0.2958625,0.3620934,-0.1304835,0.167587,-0.2919788,0.1404014
107,3,w stim,76,configuration 2 starts here my friends!,-0.3136626,0.2128963,-0.2887425,0.3887936,-0.1830747,0.1450942,-0.129189,0.1554506
108,4,w stim,76,configuration 2 starts here my friends!,-0.230164,0.2344182,-0.2461841,0.2782712,-0.1290271,0.1437996,-0.08630693,0.1164522
109,5,w stim,76,configuration 2 starts here my friends!,-0.1021652,0.1321487,-0.2461841,0.3014113,-0.1314544,0.1437996,-0.08646875,0.1132158
110,1,w stim,76,configuration 2 starts here my friends!,-0.146989,0.1321487,-0.2497441,0.1745452,-0.194402,0.145256,-0.1615527,0.1133777
111,2,w stim,76,configuration 2 starts here my friends!,-0.1630091,0.1253523,-0.1149489,0.1355469,-0.1314544,0.1454178,-0.08549783,0.1127304
112,3,w stim,76,configuration 2 starts here my friends!,-0.0356576,0.01110808,-0.1723946,0.104154,-0.1562127,0.1459033,-0.08711603,0.1200122
113,4,w stim,76,configuration 2 starts here my friends!,-0.01559205,0.01094626,-0.1418108,0.2250327,-0.1400308,1.253393,-0.110418,0.1311777
114,5,w stim,76,configuration 2 starts here my friends!,-0.1507109,0.121145,-0.09747244,0.1263232,-0.1293508,0.1852253,-0.08485056,0.1151577
115,1,w stim,63,configuration 2 starts here my friends!,-0.1482836,0.133605,-0.1864729,0.1238959,-0.2601005,0.1415342,-0.1955347,0.1496251
116,2,w stim,63,configuration 2 starts here my friends!,-0.1418108,0.1374887,-0.09132332,0.08020477,-0.1269235,0.1426669,-0.08711603,0.1132158
117,3,w stim,63,configuration 2 starts here my friends!,-0.01154658,0.003340768,-0.03031757,-0.0003810675,-0.128218,0.1421814,-0.08614511,0.1120831
118,4,w stim,63,configuration 2 starts here my friends!,-0.01543023,0.02486269,-0.08614511,0.1044776,-0.1296744,0.1405632,-0.08436511,0.1117595
119,5,w stim,63,configuration 2 starts here my friends!,-0.01041384,0.005282596,-0.02837575,-0.0005428865,-0.1278944,0.1431523,-0.08695421,0.1132158
120,1,w stim,63,configuration 2 starts here my friends!,-0.01057566,0.002855312,-0.03517214,0.01838993,-0.1290271,0.141696,-0.08533602,0.1128922
121,2,w stim,63,configuration 2 starts here my friends!,-0.01187021,0.002369855,-0.03161212,0.0232445,-0.1277326,0.1442851,-0.08614511,0.1111122
122,3,w stim,63,configuration 2 starts here my friends!,-0.01025202,0.01418264,-0.1769256,0.1730888,-0.1277326,0.1425051,-0.0851742,0.114834
123,4,w stim,63,configuration 2 starts here my friends!,-0.01057566,0.002855312,-0.08015781,0.05350465,-0.128218,0.1421814,-0.08630693,0.1120831
124,5,w stim,63,configuration 2 starts here my friends!,-0.3696519,0.2666202,-0.03387759,0.03764639,-0.1301599,0.1460651,-0.08646875,0.1119213
125,1,w/o stim,63,configuration 3 starts here my friends!,-0.1643037,0.06531743,-0.1128452,0.1072285,-0.1851783,0.1049631,-0.1869583,0.1292359
126,2,w/o stim,63,configuration 3 starts here my friends!,-0.1486072,0.1340905,-0.03517214,0.03894094,-0.02303572,-0.0007047054,-0.01187021,0.003988044
127,3,w/o stim,63,configuration 3 starts here my friends!,-0.291817,0.1504342,-0.07125777,0.09250301,-0.04730856,0.02518633,-0.02934666,0.01790447
128,4,w/o stim,63,configuration 3 starts here my friends!,-0.01057566,0.002855312,-0.063005,0.02648088,-0.02562482,0.002693493,-0.01219385,0.001722579
129,5,w/o stim,63,configuration 3 starts here my friends!,-0.1897092,0.1217922,-0.2473168,0.1297214,-0.2122021,0.1337668,-0.05717952,0.01903721
130,1,w/o stim,63,configuration 3 starts here my friends!,-0.01203203,0.005768053,-0.07627416,0.1646743,-0.02384482,0.001884398,-0.02578664,0.01838993
131,2,w/o stim,63,configuration 3 starts here my friends!,-0.1262762,0.1308541,-0.03711397,0.03149727,-0.02918484,-0.001351981,-0.03727579,0.01337354
132,3,w/o stim,63,configuration 3 starts here my friends!,-0.138089,0.1352232,-0.04811766,0.02534815,-0.02303572,-0.004264723,-0.03743761,0.02567178
133,4,w/o stim,63,configuration 3 starts here my friends!,-0.1793528,0.1072285,-0.06478501,0.1025358,-0.07999599,0.05334283,-0.01381204,0.002693493
134,5,w/o stim,63,configuration 3 starts here my friends!,-0.01203203,0.003340768,-0.0476322,0.03505728,-0.02206481,-0.003779266,-0.01187021,0.001884398
135,1,w/o stim,76,configuration 3 starts here my friends!,-0.1510345,0.2329619,-0.1932693,0.2747112,-0.1971529,0.1840926,-0.2423004,0.1135395
136,2,w/o stim,76,configuration 3 starts here my friends!,-0.1982857,0.21856,-0.2476404,0.2849058,-0.09909063,0.05657921,-0.1450472,0.06855381
137,3,w/o stim,76,configuration 3 starts here my friends!,-0.08387965,0.1227632,-0.1447236,0.118394,-0.09811971,0.0547992,-0.2013602,0.08619207
138,4,w/o stim,76,configuration 3 starts here my friends!,-0.1160816,0.107714,-0.2300022,0.2151618,-0.1393836,0.06564107,-0.05167767,0.03279182
139,5,w/o stim,76,configuration 3 starts here my friends!,-0.08161418,0.1526997,-0.1461799,0.1619233,-0.1440763,0.07632112,-0.2398731,0.1245432
140,1,w/o stim,76,configuration 3 starts here my friends!,-0.1900329,0.1454178,-0.1123598,0.1986562,-0.15508,0.09557758,-0.09811971,0.06208105
141,2,w/o stim,76,configuration 3 starts here my friends!,-0.1919747,0.09978487,-0.1552418,0.21144,-0.1918129,0.09606303,-0.3547646,0.2289164
142,3,w/o stim,76,configuration 3 starts here my friends!,-0.1518436,0.1876526,-0.3601046,0.2805367,-0.1225544,0.07001018,-0.1940784,0.09654849
143,4,w/o stim,76,configuration 3 starts here my friends!,-0.1204507,0.131825,-0.2754733,0.2065854,-0.1204507,0.08829572,-0.1078289,0.04007367
144,5,w/o stim,76,configuration 3 starts here my friends!,-0.1393836,0.1227632,-0.205082,0.2064236,-0.1293508,0.08861936,-0.1113889,0.06839199
145,1,w stim,76,configuration 3 starts here my friends!,-0.2097748,0.1939635,-0.2861533,0.4612885,-0.1340435,0.07939567,-0.2385786,0.1153195
146,2,w stim,76,configuration 3 starts here my friends!,-0.1622,0.2041581,-0.1835601,0.4598321,-0.112198,0.111274,-0.3439227,0.1538324
147,3,w stim,76,configuration 3 starts here my friends!,-0.2515241,0.1484924,-0.108638,0.1609524,-0.1050779,0.06774471,-0.2084802,0.09913759
148,4,w stim,76,configuration 3 starts here my friends!,-0.2848588,0.3190496,-0.2557314,0.5828146,-0.166731,0.7214935,-0.5983022,0.3603134
149,5,w stim,76,configuration 3 starts here my friends!,-0.1876056,0.1297214,-0.2861533,0.1659688,-0.06963958,0.0505919,-0.1189944,0.05382828
150,1,w stim,76,configuration 3 starts here my friends!,-0.2609096,0.2107927,-0.2342095,0.2803748,-0.1856638,0.09476848,-0.1248198,0.05091554
151,2,w stim,76,configuration 3 starts here my friends!,-0.1819419,0.1415342,-0.1749837,0.119365,-0.1335581,0.06499379,-0.04585219,0.01531537
152,3,w stim,76,configuration 3 starts here my friends!,-0.1484454,0.1348996,-0.1429436,0.1651597,-0.04795584,0.01434446,-0.0885724,0.04347187
153,4,w stim,76,configuration 3 starts here my friends!,-0.1087998,0.1222777,-0.2495823,0.2619275,-0.2067002,0.107714,-0.2376077,0.1107886
154,5,w stim,76,configuration 3 starts here my friends!,-0.1460181,0.1281032,-0.2236912,0.1716325,-0.08501238,0.03651365,-0.0877633,0.0412064
155,1,w stim,63,configuration 3 starts here my friends!,-0.1552418,0.1570688,-0.1575073,0.1904035,-0.04229218,0.01563901,-0.2062148,0.09541576
156,2,w stim,63,configuration 3 starts here my friends!,-0.1596109,0.1161286,-0.07562688,0.04784098,-0.04196854,0.6311985,-0.15508,0.08926664
157,3,w stim,63,configuration 3 starts here my friends!,-0.03776124,0.005606234,-0.2073475,0.2692093,-0.04391037,0.01547719,-0.2020075,0.1159668
158,4,w stim,63,configuration 3 starts here my friends!,-0.03598124,0.01418264,-0.1722328,0.1366796,-0.04358673,0.01013716,-0.03598124,0.01628629
159,5,w stim,63,configuration 3 starts here my friends!,-0.01672478,0.007062604,-0.204273,0.2622511,-0.04439582,0.01110808,-0.3476446,0.2349037
160,1,w stim,63,configuration 3 starts here my friends!,-0.1408399,0.119365,-0.0825851,0.1447705,-0.04261582,0.008518975,-0.08404147,0.05237191
161,2,w stim,63,configuration 3 starts here my friends!,-0.01122294,0.002046217,-0.2118784,0.2239,-0.04310127,0.01013716,-0.07384687,0.04007367
162,3,w stim,63,configuration 3 starts here my friends!,-0.1867965,0.1206595,-0.2175421,0.3507661,-0.04067399,0.00932807,-0.02530119,0.009489888
163,4,w stim,63,configuration 3 starts here my friends!,-0.1329108,0.1355469,-0.2686769,0.1847398,-0.1329108,0.0727611,-0.06672684,0.02971726
164,5,w stim,63,configuration 3 starts here my friends!,-0.02821393,0.0258336,-0.1447236,0.05981558,-0.04569038,0.0104608,-0.03193576,0.01029898
165,1,w/o stim,63,baseline,-0.2859915,0.1533469,-0.1508727,0.1904035,-0.1099325,0.1221159,-0.3154426,0.1782671
166,2,w/o stim,63,baseline,-0.1285417,0.1562597,-0.09666335,0.1444469,-0.05070676,0.0446046,-0.01575387,0.005120777
167,3,w/o stim,63,baseline,-0.02109389,0.007548061,-0.1036216,0.2541602,-0.02611028,-0.003455628,-0.01397386,0.003178949
168,4,w/o stim,63,baseline,-0.1636564,0.130045,-0.143429,0.1580397,-0.03323032,0.008195337,-0.01138476,0.003502587
169,5,w/o stim,63,baseline,-0.1321017,0.1476833,-0.119318,0.0829557,-0.04973585,0.04055913,-0.01284113,0.002208036
170,1,w/o stim,63,baseline,-0.01154658,0.003664406,-0.124658,0.1463887,-0.06446137,0.02648088,-0.2162476,0.1368414
171,2,w/o stim,63,baseline,-0.02481573,0.006577148,-0.1272471,0.1567451,-0.02821393,-0.001837438,-0.03808488,0.009651707
172,3,w/o stim,63,baseline,-0.02659574,0.006415328,-0.0937506,0.1538324,-0.02433027,0.0005898462,-0.02060844,0.003664406
173,4,w/o stim,63,baseline,-0.01138476,0.002855312,-0.08015781,0.0641847,-0.02530119,0.1104649,-0.2122021,0.152376
174,5,w/o stim,63,baseline,-0.01818115,0.003988044,-0.04067399,0.02292086,-0.1994184,0.1860344,-0.02789029,0.009813527
175,1,w/o stim,76,baseline,-0.112198,0.1311777,-0.1874438,0.1036685,-0.08436511,0.05641739,-0.1555654,0.08376479
176,2,w/o stim,76,baseline,-0.1419726,0.1213068,-0.06737412,0.09590121,-0.05847407,0.03214454,-0.07514142,0.04670825
177,3,w/o stim,76,baseline,-0.2346949,0.2260037,-0.1133307,0.1149958,-0.09472152,0.05852103,-0.1295126,0.08457389
178,4,w/o stim,76,baseline,-0.303468,0.2017308,-0.3863193,0.3182405,-0.1660837,0.09347393,-0.2916552,0.1556124
179,5,w/o stim,76,baseline,-0.1321017,0.1238959,-0.1681873,0.2120872,-0.05863589,0.02550996,-0.04779402,0.01855175
180,1,w/o stim,76,baseline,-0.01187021,0.008033518,-0.07659779,0.1344141,-0.04892675,0.0258336,-0.03452487,0.006738966
181,2,w/o stim,76,baseline,-0.1719092,0.1188795,-0.1029743,0.1760016,-0.09083787,0.05593193,-0.04229218,0.01871357
182,3,w/o stim,76,baseline,-0.01640114,0.01596265,-0.1610673,0.1067431,-0.05459042,0.0360282,-0.1435908,0.09638667
183,4,w/o stim,76,baseline,-0.2634987,0.1128922,-0.1288653,0.2091745,-0.2031402,0.1315014,-0.4130194,0.2742257
184,5,w/o stim,76,baseline,-0.1133307,0.1319868,-0.1128452,0.1196886,-0.08711603,0.06806835,-0.09148514,0.06353742
